titles,album,date_released,lyrics,processed_lyrics
kingdom come,the_separation,"December 10, 2013","[Verse 1]
Yes, I came up with my people
And they love what I've become
As our enemies retreat, watch them run
I'm the storyline of Simba
As we watch the rising sun
Living prophecy is me, Kingdom Come

[Pre-Hook]
On the balcony
With a light skin queen by my side
Rides like Valkyrie
Let the future fall in place
While we are young, young, young, young
Young, young, young, young
I say to my queen
We've just begun, gun, gun, gun, gun
Kingdom Come

[Hook]
Demons seem so small
There the same one's that I've fought in all my nightmares
And conquered in my dreams, we have won
As I watched them fall
I begin to realize my only enemy is me
Kingdom Come, Kingdom Come

[Verse 2]
I heard melodies from angels
So I played them, I'm the one
Now my heroes asking me where I'm from
I'm the storyline of Simba
As we watch the rising sun
Living prophecy is me, Kingdom Come

[Pre-Hook]
On the balcony
With a light skin queen by my side
Rides like Valkyrie
Let the future fall in place
While we are young, young, young, young
Young, young, young, young
I say to my queen
We've just begun, gun, gun, gun, gun
Kingdom Come

[Hook]
Demons seem so small
There the same one's that I've fought in all my nightmares
And conquered in my dreams, we have won
As I watched them fall
I begin to realize my only enemy is me
Kingdom Come, Kingdom Come",yes come people love ive become enemies retreat watch run im storyline simba watch rise sun live prophecy kingdom come balcony light skin queen side rid like valkyrie let future fall place young young young young young young young young say queen weve begun gun gun gun gun kingdom come demons seem small ones ive fight nightmares conquer dreams win watch fall begin realize enemy kingdom come kingdom come hear melodies angels play im one heroes ask im im storyline simba watch rise sun live prophecy kingdom come balcony light skin queen side rid like valkyrie let future fall place young young young young young young young young say queen weve begun gun gun gun gun kingdom come demons seem small ones ive fight nightmares conquer dreams win watch fall begin realize enemy kingdom come kingdom come
newyorksoul,the_separation,"December 10, 2013","[Verse 1]
Bottle of red, bottle of white
My dad sent to me the other night
In the box there was a postcard just for fun
Saying everyone is proud, we miss you son

[Hook]
See my mother on Skype
Hear my sisters through postcards they write
Watch my niece grow through Instagram
Yeah, around the world my body will roam
But my soul’s in New York
My soul’s in New York

[Verse 2]
Light creeps in the hotel from the sun
All the homies left a voicemail from the pub
""Thinking of you, we’ll pour out a beer
But goddamn, Jon, we wish you were here""

[Hook]
See my mother on Skype
Hear my sisters through postcards they write
Watch my niece grow through Instagram
Yeah, around the world my body will roam
But my soul’s in New York
My soul’s in New York
See my mother on Skype
Hear my sisters through postcards they write
Watch my niece grow through Instagram
Yeah, around the world my body will roam
But my soul’s in New York",bottle red bottle white dad send night box postcard fun say everyone proud miss son see mother skype hear sisters postcards write watch niece grow instagram  around world body roam souls new york souls new york light creep hotel sun homies leave voicemail pub thinking well pour beer goddamn jon wish see mother skype hear sisters postcards write watch niece grow instagram  around world body roam souls new york souls new york see mother skype hear sisters postcards write watch niece grow instagram  around world body roam souls new york
one more time,the_separation,"December 10, 2013","[Intro]
Yeah, yeah!

[Verse 1]
Your father said he would break my legs
If I ever came around again
I don't mind risking the wheelchair
If we could get another round in

[Pre-Hook]
Oh, you told him you would stay away
But here you are, I kiss your face
You touch my chest, I feel your legs
We're in too far (Yeah!) I hear you say (Yeah!)

[Hook]
One more time
(I need you, I need you, I need you)
One more time
(I need you, I need you, I need you)

[Verse 2]
It's dangerous in the action sequence
And I'm ready to die hard
It's like we're stuck in an 80's movie
As you're sneaking into my car

[Pre-Hook]
Oh, you told him you would stay away
But here you are, I kiss your face
You touch my chest, I feel your legs
We're in too far (Yeah!) I hear you say (Yeah!)

[Hook]
One more time
(I need you, I need you, I need you)
One more time
(I need you, I need you, I need you)

[Bridge]
As we wake up in my car, you're on my chest
Oh, and you got ninety missed calls, one hundred texts
Screw your pops, let's get some IHOP
Screw your pops, let's get some IHOP
Screw your pops, let's get some IHOP
But before we go, you tell me that we should do it

[Hook]
One more time
(I need you, I need you, I need you)
One more time
(I need you, I need you, I need you)",  father say would break legs ever come around dont mind risk wheelchair could get another round  tell would stay away kiss face touch chest feel legs far  hear say  one time need need need one time need need need dangerous action sequence im ready die hard like stick  movie youre sneak car  tell would stay away kiss face touch chest feel legs far  hear say  one time need need need one time need need need wake car youre chest  get ninety miss calls one hundred texts screw pops lets get ihop screw pops lets get ihop screw pops lets get ihop go tell one time need need need one time need need need
"superman, the gift and the curse",the_separation,"December 10, 2013","[Pre-Hook]
Cocaine like the kid was born in '84
How long you really plan to sleep on me for?
When I decide to put my cape on the floor
Superman won't save you no more

[Verse 1]
Your favorite rapper's be taking beats that I'm shitting up
Your favorite lyricist's tell me that I don't spit enough
10 steps ahead of you musically, how you plan to stop me?
Just count your blessings that I consider rap a fucking hobby!

[Pre-Hook]
Cocaine like the kid was born in '84
How long you really plan to sleep on me for?
When I decide to put my cape on the floor
Superman won't save you no more

[Hook]
Superman won't save you no more
Superman won't save you no more
Superman won't save you no more
Superman won't save you no more, more, more—

[Verse 2]
Imagine locking the tone of Sarah McLachlan
The fashion of Jimi Hendrix in a box with the bible's doctrine
I look for potential wives, she looking for famous Johnson
She hungry for the action, in New York we call that Bronson

[Pre-Hook]
Cocaine like the kid was born in '84
How long you really plan to sleep on me for?
When I decide to put my cape on the floor
Superman won't save you no more

[Hook]
Superman won't save you no more
Superman won't save you no more
Superman won't save you no more
Superman won't save you no more, more, more—

[Interlude]

[Pre-Hook]
Cocaine like the kid was born in '84
How long you really plan to sleep on me for?
When I decide to put my cape on the floor
Superman won't save you no more

[Hook]
Superman won't save you no more
Superman won't save you no more
Superman won't save you no more
Superman won't save you no more, more—

[Bridge]
She literally told me:
""You're too much of a genius""
""You're gonna be too famous""
She literally left me—
Tell me that shit ain't a gift and a curse
She literally told me:
""You're too much of a genius""
""You're gonna be too famous""
She literally left me—
Tell me that shit ain't a gift and a curse

[Outro]
Tell me that shit ain't a gift and a curse
Tell me that shit ain't a gift and a curse
Tell me that shit ain't a gift and a curse
Tell me that shit ain't a gift and a curse
Tell me that shit ain't a gift and a curse",cocaine like kid bear  long really plan sleep decide put cape floor superman wont save favorite rappers take beat im shit favorite lyricists tell dont spit enough  step ahead musically plan stop count bless consider rap fuck hobby cocaine like kid bear  long really plan sleep decide put cape floor superman wont save superman wont save superman wont save superman wont save superman wont save more imagine lock tone sarah mclachlan fashion jimi hendrix box bibles doctrine look potential wives look famous johnson hungry action new york call bronson cocaine like kid bear  long really plan sleep decide put cape floor superman wont save superman wont save superman wont save superman wont save superman wont save more cocaine like kid bear  long really plan sleep decide put cape floor superman wont save superman wont save superman wont save superman wont save superman wont save more literally tell youre much genius youre gonna famous literally leave me tell shit aint gift curse literally tell youre much genius youre gonna famous literally leave me tell shit aint gift curse tell shit aint gift curse tell shit aint gift curse tell shit aint gift curse tell shit aint gift curse tell shit aint gift curse
to my future wife...,the_separation,"December 10, 2013","[Verse 1]
Open up the doors in the back of the church
And they all rise, they all rise
Take a couple steps of my breath in a dress
That is all white, it's all white
As your father lets you go
He will whisper soft and slow

[Chorus]
""Walk towards love,"" yeah
""Walk towards love,"" yeah
""Walk towards love""

[Verse 2]
This money's gonna come
And this money's gonna go
But that's alright, that's alright
'Cause everything could fall down
Everything can go
But it's all fine, it's all fine
They say love's a winding road
But it's simple if we both

[Chorus]
Walk towards love, yeah
Walk towards love, yeah
Walk towards love

[Verse 3]
Even the philosophers know, its a fact
That we all die, we all die
I know you're an angel
So if they call you back
In a short time, a short time
And you leave me in this life
I will follow close behind

[Chorus]
Walk towards love, yeah
Walk towards love, yeah
Walk towards love, yeah
Walk towards love, yeah
Walk towards love, hum",open doors back church rise rise take couple step breath dress white white father let go whisper soft slow walk towards love  walk towards love  walk towards love moneys gonna come moneys gonna go thats alright thats alright cause everything could fall everything go fine fine say loves wind road simple walk towards love  walk towards love  walk towards love even philosophers know fact die die know youre angel call back short time short time leave life follow close behind walk towards love  walk towards love  walk towards love  walk towards love  walk towards love hum
ungrateful eyes,the_separation,"December 10, 2013","[Verse 1]
I made a hundred grand this year
(
Clap clap, clap clap, so what?
)
Still lost, still feeling anxious
Still worry 'bout the same shit
I made a hundred grand this year
(
Clap clap, clap clap, so what?
)
Still lost, still feel depressed like
I'm tryna find a way in

[Pre-Hook]
I'm tryna figure this out
But my god, I'm so human
And so I turned to my sister and smiled
And asked this question

[Hook]
All we wanna know is where the stars came from
But do we ever stop—ever stop to watch them shine?
All we wanna know is where the stars came from
But do we ever stop—ever stop to watch them shine?
Or are we staring with—staring with ungrateful eyes?

[Verse 2]
I made a hundred grand this year
(
Clap clap, clap clap, so what?
)
Still hung up on opinions, still tryna find a way home
I made a hundred grand this year
(
Clap clap, clap clap, so what?
)
Still feel like I'm behind time, still worry where the day goes

[Pre-Hook]
I'm tryna figure this out
But my god, I'm so human
And so I turned to my sister and smiled
And asked this question

[Hook]
All we wanna know is where the stars came from
But do we ever stop—ever stop to watch them shine?
All we wanna know is where the stars came from
But do we ever stop—ever stop to watch them shine?
Or are we staring with—staring with ungrateful eyes?
All we wanna know is where the stars came from
But do we ever stop—ever stop to watch them shine?
All we wanna know is where the stars came from
But do we ever stop—ever stop to watch them shine?
Or are we staring with—staring with ungrateful eyes?",make hundred grand year  clap clap clap clap  still lost still feel anxious still worry bout shit make hundred grand year  clap clap clap clap  still lost still feel depress like im tryna find way im tryna figure god im human turn sister smile ask question wanna know star come ever stopever stop watch shine wanna know star come ever stopever stop watch shine star withstaring ungrateful eyes make hundred grand year  clap clap clap clap  still hang opinions still tryna find way home make hundred grand year  clap clap clap clap  still feel like im behind time still worry day go im tryna figure god im human turn sister smile ask question wanna know star come ever stopever stop watch shine wanna know star come ever stopever stop watch shine star withstaring ungrateful eyes wanna know star come ever stopever stop watch shine wanna know star come ever stopever stop watch shine star withstaring ungrateful eyes
when the lions come,the_separation,"December 10, 2013","[Hook: Jon Bellion]
When the lions come and they turn to fight
Will you lose your soul?
Will you lose your pride?
Cause the only thing they needs
To smell a drop of fear inside
When the lions come, will you turn to fight?

[Verse 1: Shy Grey]
Yeah, they tried to stop me
Tried to box me in the ring but I'm rocky
Indeed I'mma rumble
If the lions come I am, uh
Gonna be deemed new king of the jungle
I came from the bottom where it's not a problem
You know they got iron and chrome
And they firing at domes
And they hold more grams than retirement homes
I made it out all on my own, the homies know I was alone
But they be calling my phone, if they need some money
In other words I was a loan, now I'm in the zone
Should have been another statistic
But I said fuck it I'll risk it
Looked death right in the face and I kissed it
No evidence and no trace of the lipstick
Now ain't nobody gonna stop me now
Ain't nobody gonna knock me down
I'm from the school of the hard knocks
Breaking doors down they tryna lock me out
If you stayed to fight then you might have won
But they caught your ass cause you tried to run
Me, Jon B, Blaque Keyz, in a fighting stance when the lions come

[Hook: Jon Bellion]
When the lions come and they turn to fight
Will you lose your soul?
Will you lose your pride?
Cause the only thing they needs
To smell a drop of fear inside
When the lions come, will you turn to fight?

[Verse 2: Logic]
Yeah, lemme get it like this, lemme rip it like this
So sick, don't spit, I vomit
Bomb it, wearing the freshest of garments
Blowing up yeah we the bombest
Never cocky i'm just honest, reppin' artanis—woah
Maryland what I be reppin' the second I step in
I murder like weapon
Let me bring the tech and I'll hit ya like Tekken, I'm gone
Whatever record I'm on, I just wreck it and I'm gone
R-A—double T—P-A-C-K, V's up, all day, yeah we do it our way
I push white keys like Beethoven, while Blaque Keyz drop 16's,
Like the sistine, that's so mean
Hell yeah, that's so clean
Can I get it? Lemme get it, I got to get it
I got to spit it from the heart, lemme tear it apart
Living the real life, everybody want to wonder what it feel like
Rock with a drop top, living on top, lemme get it
I get ready to pop, when they bopping they head
When they rocking' the bed
If I couldn't do this then I'd be dead

[Hook: Jon Bellion]
When the lions come and they turn to fight
Will you lose your soul?
Will you lose your pride?
Cause the only thing they needs
To smell a drop of fear inside
When the lions come, will you turn to fight?

[Verse 3: Blaque Keyz]
Man it's unreasonable to think that Keyz won't leave MC's extinct
I never had a reason to, until now
To get that spear and hit that Jeep?
See me swerving like Steve Irwin through herds of nervous MC's
I sink my teeth in their verses, each feature becomes a feast
Lay back, relax in my den, get paid from the royalties
And bring it back to the pack and just let my family eat
I'm a predator on this beat, every metaphor is my prey
My roar rumbles your feet, I'll place your head on my tray
I'm letting your girl pat me, run fingers all through my mane
The pride of a dying breed with ferocity in my veins
At the top of the food chain, the philosophy is the same
So live properly, so one day they won't throw you in no cage
Keyz is king of the jungle no rumbling with the snakes
You running when I'm on the prowl
I pounce you can't keep the pace
You know I've been earning stripes, got zebra print on my face
Got to make it apart of ya
See the world through my wardrobe like Narnia

[Outro]
Beautiful Mind",lions come turn fight lose soul lose pride cause thing need smell drop fear inside lions come turn fight  try stop try box ring im rocky indeed imma rumble lions come  gonna deem new king jungle come bottom problem know get iron chrome fire domes hold grams retirement home make homies know alone call phone need money word loan im zone another statistic say fuck ill risk look death right face kiss evidence trace lipstick aint nobody gonna stop aint nobody gonna knock im school hard knock break doors tryna lock stay fight might win catch ass cause try run jon b blaque keyz fight stance lions come lions come turn fight lose soul lose pride cause thing need smell drop fear inside lions come turn fight  lemme get like lemme rip like sick dont spit vomit bomb wear freshest garment blow  bombest never cocky im honest reppin artaniswoah maryland reppin second step murder like weapon let bring tech ill hit  like tekken im go whatever record im wreck im go radouble tpack vs day  way push white key like beethoven blaque keyz drop  like sistine thats mean hell  thats clean get lemme get get get get spit heart lemme tear apart live real life everybody want wonder feel like rock drop top live top lemme get get ready pop bop head rocking bed couldnt id dead lions come turn fight lose soul lose pride cause thing need smell drop fear inside lions come turn fight man unreasonable think keyz wont leave mcs extinct never reason get spear hit jeep see swerve like steve irwin herd nervous mcs sink teeth verses feature become feast lay back relax den get pay royalties bring back pack let family eat im predator beat every metaphor prey roar rumble feet ill place head tray im let girl pat run finger mane pride die breed ferocity vein top food chain philosophy live properly one day wont throw cage keyz king jungle rumble snake run im prowl pounce cant keep pace know ive earn stripes get zebra print face get make apart  see world wardrobe like narnia beautiful mind
a haunted house,the_definition,"September 23, 2014","[Verse 1]
Such haunting nightmares
From past loves that tried to screw me
But you were the preacher in an exorcism movie, my love
And that corny theme song
Always plays when you're next to me
Like, ""Who you gonna call?""

[Chorus]
The ghosts of my exes they cry, ""Oh, oh""
Cause they know that's it's their time to go, oh oh oh
The ghosts of my exes they cry, ""Oh, oh""
They know that it's their time to go, oh oh oh
Cause since you walked on through my door
This ain't no haunted house no more

[Verse 2]
You took my hand and walked me into my dark attic
That's where my heart was lost and frozen in a casket, my love
My soul was mummified, you helped me to unwrap it
It's you I'm gonna call

[Chorus]
The ghosts of my exes they cry, ""Oh, oh""
Cause they know that's it's their time to go, oh oh oh
The ghosts of my exes they cry, ""Oh, oh""
They know that it's their time to go, oh oh oh
Cause since you walked on through my door
This ain't no haunted house no more

[Bridge]
I've been saved
Watch them all fall back into the grave
I've been saved
Watch them all fall back into the grave

[Chorus]
The ghosts of my exes they cry, ""Oh, oh""
Cause they know that's it's their time to go, oh oh oh
The ghosts of my exes they cry, ""Oh, oh""
They know that it's their time to go, oh oh oh
Cause since you walked on through my door
This ain't no haunted house no more",haunt nightmares past love try screw preacher exorcism movie love corny theme song always play youre next like gonna call ghost exes cry   cause know thats time go    ghost exes cry   know time go    cause since walk door aint haunt house take hand walk dark attic thats heart lose freeze casket love soul mummified help unwrap im gonna call ghost exes cry   cause know thats time go    ghost exes cry   know time go    cause since walk door aint haunt house ive save watch fall back grave ive save watch fall back grave ghost exes cry   cause know thats time go    ghost exes cry   know time go    cause since walk door aint haunt house
an immigrant,the_definition,"September 23, 2014","[Intro]
Is this the American?
Is this the American?
Is this the American?
Is this the Ame–

[Chorus]
Woke up in London with you next to me
Made love in Brixton with both hands around your neck
I'm back in New York on British ecstasy
So I feel like an immigrant in America
Yes, I am just an immigrant in America

[Verse 1]
Cigar and cigarette ashes
As I open all my luggage up
I still speak my native language
But I only want your foreign tongue

[Pre-Chorus]
Remember? Remember?
When you spilled coffee on my J
Coffee on my J Dilla vinyl
I didn't even mind, didn't even mind (crazy)
When you spilled coffee on my J
Coffee on my J Dilla vinyl
I didn't even mind, didn't even mind (baby)

[Chorus]
Woke up in London with you next to me
Made love in Brixton with both hands around your neck
I'm back in New York on British ecstasy
So, I feel like an immigrant in America
Yes, I am just an immigrant in America

[Verse 2]
South London, born in Colombia
Texts in Spanish that she's all alone
She said she's found an apartment
I'm in Harlem, screaming, ""take me home""

[Pre-Chorus]
Remember? Remember?
When you spilled coffee on my J
Coffee on my J Dilla vinyl
I didn't even mind, didn't even mind (crazy)
When you spilled coffee on my J
Coffee on my J Dilla vinyl
I didn't even mind, didn't even mind (baby)

[Outro]
Woke up in London with you next to me
Made love in Brixton with both hands around your neck
I'm back in New York on British ecstasy
So, I feel like an immigrant in America, I miss you
Yes, I feel like an immigrant in America, that's how I feel...",american american american ame– wake london next make love brixton hand around neck im back new york british ecstasy feel like immigrant america yes immigrant america cigar cigarette ash open luggage still speak native language want foreign tongue remember remember spill coffee j coffee j dilla vinyl didnt even mind didnt even mind crazy spill coffee j coffee j dilla vinyl didnt even mind didnt even mind baby wake london next make love brixton hand around neck im back new york british ecstasy feel like immigrant america yes immigrant america south london bear colombia texts spanish shes alone say shes find apartment im harlem screaming take home remember remember spill coffee j coffee j dilla vinyl didnt even mind didnt even mind crazy spill coffee j coffee j dilla vinyl didnt even mind didnt even mind baby wake london next make love brixton hand around neck im back new york british ecstasy feel like immigrant america miss yes feel like immigrant america thats feel
carry your throne,the_definition,"September 23, 2014","[Verse 1]
Two crowns and a gold cup
And they're coming for the throne, love
But if your heart is a dog fight
Then I'm ready to go to war like
Rough sex in the courtyard
And your legs are the North Star
Church bells let me ring them
She looked back, said, ""Baby, this your kingdom""

[Chorus]
If you're lost in this darkness
I'll carry your throne
No, I won't let it swallow you whole

[Verse 2]
They try to break inside the walls with
These lies but I'm pulling up the draw bridge
We rose this love from the dirt now
Set fire to the sky watch it burn down
It's a ceremony but the crowd's gone
And you got nothing but my crown on
Round 2, round 3, give me sequels
Every time you open the cathedral

[Chorus]
If you're lost in this darkness
I'll carry your throne
No, I won't let it swallow you whole
If you're lost in this darkness
I'll carry your throne
No, I won't let it swallow you whole",two crown gold cup theyre come throne love heart dog fight im ready go war like rough sex courtyard legs north star church bell let ring look back said baby kingdom youre lose darkness ill carry throne wont let swallow whole try break inside wall lie im pull draw bridge rise love dirt set fire sky watch burn ceremony crowds go get nothing crown round  round  give sequels every time open cathedral youre lose darkness ill carry throne wont let swallow whole youre lose darkness ill carry throne wont let swallow whole
human,the_definition,"September 23, 2014","[Verse 1]
I always fear that I'm not living right
So I feel guilty when I go to church
The pastor tells me I've been saved, I'm fine
Then please explain to me why my chest still hurts
I spent four thousand on the Mart McFlys
Yet I'm still petrified of going broke
There's someone gorgeous in my bed tonight
Yet I'm still petrified that I'll die alone

[Chorus]
I'm just so sick of being human
I'm just so sick of being human
I'm just so sick of being human
I'm just so sick of being...

[Post-Chorus]
Na, na, na-na, oh, nay
Nan, nan, nan, nan
Ooh, ah-ah, aye

[Verse 2]
My mother calls I have no time to talk
But I can find the time to drink and smoke
Took 15 hits 'till I can barely walk
I threw up on the lawn, I can't find my phone
I got no guts to tell the one I love
That she's the reason that I wrote this song
And that's some coward shit, I know it's sus
But Lauren call me when you hear this song

[Chorus]
I'm just so sick of being human
I'm just so sick of being human
I'm just so sick of being human
I'm just so sick of being...

[Post-Chorus]
Na, na, na-na, oh, nay
Nan, nan, nan, nan
Ooh, ah-ah, aye

[Bridge]
See I got GPS on my phone
And I can follow it to get home
If my location's never unknown
Then tell me why I still feel lost
Tell me why I still feel lost

[Outro]
Tell me why I still feel
Tell me why I still feel
Tell me why I still feel human
Tell me why I still feel
Tell me why I still feel
(Human, human, human, human)",always fear im live right feel guilty go church pastor tell ive saved im fine please explain chest still hurt spend four thousand mart mcflys yet im still petrify go break theres someone gorgeous bed tonight yet im still petrify ill die alone im sick human im sick human im sick human im sick na na         ahah aye mother call time talk find time drink smoke take  hit till barely walk throw lawn cant find phone get gut tell one love shes reason write song thats coward shit know sus lauren call hear song im sick human im sick human im sick human im sick na na         ahah aye see get gps phone follow get home locations never unknown tell still feel lose tell still feel lose tell still feel tell still feel tell still feel human tell still feel tell still feel human human human human
jungle,the_definition,"September 23, 2014","[Verse 1]
You say your tribe's from Kentucky—tucky
Give you three days if you're lucky, lucky
These Wall Street dogs they can smell ya, smell ya
But in my tent there is shelter, shelter

[Pre-Chorus]
I will take care of you
Put the heat down, put the heat down, down
So please don't be scared of me
Put the heat down, put the heat down, down

[Chorus]
The lion is creeping
But you will be sleeping sound
Cause you're too pretty
You're, you're too pretty
And New York City is a jungle out there
Jungle out there, jungle out there
New York City, it's a jungle out there
Jungle out there, jungle out there
I said New York City it's a jungle out there

[Verse 2]
Sharks moving white on these corners, corners
No woods but trees like the forest, forest
You're not from here they can smell ya, smell ya
But in my tent there is shelter, shelter

[Pre-Chorus]
I will take care of you
Put the heat down, put the heat down, down
So please don't be scared of me
Put the heat down, put the heat down, down

[Chorus]
The lion is creeping
But you will be sleeping sound
Cause you're too pretty
You're, you're too pretty
And New York City is a jungle out there
Jungle out there, jungle out there
New York City, it's a jungle out there
Jungle out there, jungle out there
I said New York City it's a jungle out there

[Bridge]
Listen close...
These models don't mean soda when they're offering coke
There's quicksand in this night life, it will swallow you whole
You sound so 'effing cute when you ask me, ""What is blow?""
Singing, ""New York city is a jungle out there...""

[Outro]
I will take care of you
So please don't be scared of me
Yes love, the lion is creeping
But you will be sleeping sound
8, 7, 6, 5, 4, 3, 2, 1
2, 1—2, 1—2, 1
8, 7, 6, 5, 4, 3, 2, 1
2, 1—2, 1—2, 1
8, 7, 6, 5, 4, 3, 2, 1",say tribes kentuckytucky give three days youre lucky lucky wall street dog smell  smell  tent shelter shelter take care put heat put heat please dont scar put heat put heat lion creep sleep sound cause youre pretty youre youre pretty new york city jungle jungle jungle new york city jungle jungle jungle say new york city jungle shark move white corners corner woods tree like forest forest youre smell  smell  tent shelter shelter take care put heat put heat please dont scar put heat put heat lion creep sleep sound cause youre pretty youre youre pretty new york city jungle jungle jungle new york city jungle jungle jungle say new york city jungle listen close model dont mean soda theyre offer coke theres quicksand night life swallow whole sound effing cute ask blow singing new york city jungle take care please dont scar yes love lion creep sleep sound                                
luxury,the_definition,"September 23, 2014","[Verse 1: Jon Bellion]
Could you lay with me
Underneath the stars, just conversate with me?
My plane is boarding soon and it's so plain to see
That one could lose his way
So could you pray with me?
That I don't lose my soul in the luxury

[Pre-Chorus: Jon Bellion]
Money the jealous type, I always knew it
I knew she'd come around if I only sweat the music
But I'm starting to believe that it's a problem to my health
Cause the size of half these checks
Could make me vomit on myself
But I give it up to heaven cause it isn't Jon
The chorus an instrumental, oh you think it's odd?
I don't have to give you lyrics cause I know it's God
That's why I get emotional when the chorus drops

[Instrumental Chorus]

[Verse 2: Jon Bellion]
We're not sad at all
We know you have to leave and we're not mad at all
You'll be back in town and we'll play basketball
And if you fall off track, we'll be your Adderall
We won't let your soul drown in luxury

[Pre-Chorus: Jon Bellion]
Money the jealous type, I always knew it
I knew she'd come around if I only sweat the music
But I'm starting to believe it, that's a problem to my health
Cause the size of half these checks
Could make me vomit on myself
But I give it up to heaven cause it isn't Jon
The chorus an instrumental, oh you think it's odd?
I don't have to give you lyrics cause I know it's God
That's why I get emotional when the chorus drops

[Instrumental Chorus]

[Outro: Audra Mae]
Pray with me
Lay with me
Conversate with me
Pray with me
Lay with me
Conversate with me
Please don't let my soul drown in luxury",could lay underneath stars conversate plane board soon plain see one could lose way could pray dont lose soul luxury money jealous type always know know shed come around sweat music im start believe problem health cause size half check could make vomit give heaven cause isnt jon chorus instrumental  think odd dont give lyric cause know god thats get emotional chorus drop sad know leave mad youll back town well play basketball fall track well adderall wont let soul drown luxury money jealous type always know know shed come around sweat music im start believe thats problem health cause size half check could make vomit give heaven cause isnt jon chorus instrumental  think odd dont give lyric cause know god thats get emotional chorus drop pray lay conversate pray lay conversate please dont let soul drown luxury
munny right,the_definition,"September 23, 2014","[Chorus: Jon Bellion]
I said wait 'til I get my money right
Then you can't tell me nothin', right?
Said wait 'til I get my money right
Then you can't tell me nothin' (Right)
Wait till I get my money right
Then you can't tell me nothin', right?
I said wait 'til I get my money right

[Verse 1: Jon Bellion]
Eighth grade, I feel depressed as shit
'Cause my heart is in the future
And I know where I belong, it just takes time
Fast forward, now I'm twenty-two
Half a million after taxes
Just to make a couple songs and I don't mind
Eighth grade, I feel depressed as shit
I'll be a fuckin' Warhol with this beat pad
Let me paint and hone my craft, it just takes time
Fast forward, now I'm twenty-two
Making artists feel self-conscious
From the honesty and soul and I don't mind

[Refrain: Mylon Hayde]
Put the pause button on the weak shit
You sound like everybody else muhfucka
Put the pause button on the weak shit
You sound like everybody else
Put the pause button on the weak shit
You sound like everybody else muhfucka
Put the pause button on the weak shit
You sound like everybody else

[Chorus: Jon Bellion]
I said wait 'til I get my money right
Then you can't tell me nothin', right?
Said wait 'til I get my money right
Then you can't tell me nothin' (Right)
Wait till I get my money right
Then you can't tell me nothin', right?
I said wait 'til I get my money right

[Verse 2: Jon Bellion]
Nineteen, I'm feeling scared as shit
Cause I'm dropping out of college
From an album made by Ye
I'm out my mind
Fast forward, now I'm twenty-two
And we just sold out S.O.B.s
""Look, son your future came today""
As my dad cries
Nineteen, I'm feeling scared as shit
I just got fired, fuck my boss
Cause all my bills have yet been paid
I'm out my mind
Fast forward, now I'm twenty-two
Yeah, I've been working, I deserve this
Yeah, I'm not afraid to say

[Refrain: Mylon Hayde]
Put the pause button on the weak shit
You sound like everybody else muhfucka
Put the pause button on the weak shit
You sound like everybody else
Put the pause button on the weak shit
You sound like everybody else muhfucka
Put the pause button on the weak shit
You sound like everybody else
You sound like everybody else muhfucka
You sound like everybody else",say wait til get money right cant tell nothin right say wait til get money right cant tell nothin right wait till get money right cant tell nothin right say wait til get money right eighth grade feel depress shit cause heart future know belong take time fast forward im twentytwo half million tax make couple songs dont mind eighth grade feel depress shit ill fuckin warhol beat pad let paint hone craft take time fast forward im twentytwo make artists feel selfconscious honesty soul dont mind put pause button weak shit sound like everybody else muhfucka put pause button weak shit sound like everybody else put pause button weak shit sound like everybody else muhfucka put pause button weak shit sound like everybody else say wait til get money right cant tell nothin right say wait til get money right cant tell nothin right wait till get money right cant tell nothin right say wait til get money right nineteen im feel scar shit cause im drop college album make ye im mind fast forward im twentytwo sell sobs look son future come today dad cry nineteen im feel scar shit get fired fuck boss cause bill yet pay im mind fast forward im twentytwo  ive working deserve  im afraid say put pause button weak shit sound like everybody else muhfucka put pause button weak shit sound like everybody else put pause button weak shit sound like everybody else muhfucka put pause button weak shit sound like everybody else sound like everybody else muhfucka sound like everybody else
